title,url,date,adults_surveyed,results,agg_results_pct
Would you support or oppose the construction of a nuclear power station in your local area?,https://yougov.co.uk/topics/consumer/survey-results/daily/2025/02/05/0a04a/3,Conducted 5 February 2025,4875,"{'Strongly support': {'All': 11, 'Con': 14, 'Lab': 10, 'Lib Dem': 11, 'Reform': 20}, 'Somewhat support': {'All': 24, 'Con': 29, 'Lab': 26, 'Lib Dem': 23, 'Reform': 25}, 'Somewhat oppose': {'All': 18, 'Con': 18, 'Lab': 18, 'Lib Dem': 23, 'Reform': 12}, 'Strongly oppose': {'All': 28, 'Con': 23, 'Lab': 28, 'Lib Dem': 27, 'Reform': 25}, ""Don't know"": {'All': 19, 'Con': 16, 'Lab': 18, 'Lib Dem': 16, 'Reform': 17}}","{'All': {'support': 35, 'oppose': 46}, 'Con': {'support': 43, 'oppose': 41}, 'Lab': {'support': 36, 'oppose': 46}, 'Lib Dem': {'support': 34, 'oppose': 50}, 'Reform': {'support': 45, 'oppose': 37}}"
"Would you support or oppose a ban on the possession, manufacture, import and sale of ninja swords in the UK?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/03/28/0d73a/1,Conducted 28 March 2025,5920,"{'Strongly support': {'All': 58, 'Con': 71, 'Lab': 61, 'Lib Dem': 65, 'Reform': 63}, 'Somewhat support': {'All': 13, 'Con': 9, 'Lab': 13, 'Lib Dem': 13, 'Reform': 8}, 'Somewhat oppose': {'All': 7, 'Con': 4, 'Lab': 6, 'Lib Dem': 7, 'Reform': 12}, 'Strongly oppose': {'All': 13, 'Con': 14, 'Lab': 12, 'Lib Dem': 9, 'Reform': 12}, 'Don’t know': {'All': 9, 'Con': 3, 'Lab': 7, 'Lib Dem': 5, 'Reform': 6}}","{'All': {'support': 71, 'oppose': 20}, 'Con': {'support': 80, 'oppose': 18}, 'Lab': {'support': 74, 'oppose': 18}, 'Lib Dem': {'support': 78, 'oppose': 16}, 'Reform': {'support': 71, 'oppose': 24}}"
Would you support or oppose allowing Ukraine to build nuclear weapons?,https://yougov.co.uk/topics/international/survey-results/daily/2024/11/14/21ac5/2,Conducted 14 November 2024,5169,"{'Strongly support': {'All': 6, 'Con': 7, 'Lab': 6, 'Lib Dem': 4, 'Reform': 8}, 'Somewhat support': {'All': 12, 'Con': 14, 'Lab': 13, 'Lib Dem': 13, 'Reform': 10}, 'Somewhat oppose': {'All': 24, 'Con': 27, 'Lab': 23, 'Lib Dem': 23, 'Reform': 22}, 'Strongly oppose': {'All': 38, 'Con': 31, 'Lab': 40, 'Lib Dem': 39, 'Reform': 44}, ""Don't know"": {'All': 21, 'Con': 21, 'Lab': 18, 'Lib Dem': 21, 'Reform': 16}}","{'All': {'support': 18, 'oppose': 62}, 'Con': {'support': 21, 'oppose': 58}, 'Lab': {'support': 19, 'oppose': 63}, 'Lib Dem': {'support': 17, 'oppose': 62}, 'Reform': {'support': 18, 'oppose': 66}}"
Would you support or oppose greater cooperation between the UK and the EU on issues of defence and security?,https://yougov.co.uk/topics/international/survey-results/daily/2025/02/03/8ae3f/3,Conducted 3 February 2025,3984,"{'Strongly support': {'All': 42, 'Con': 28, 'Lab': 60, 'Lib Dem': 66, 'Reform': 17}, 'Somewhat support': {'All': 30, 'Con': 40, 'Lab': 25, 'Lib Dem': 24, 'Reform': 34}, 'Somewhat oppose': {'All': 6, 'Con': 8, 'Lab': 2, 'Lib Dem': 2, 'Reform': 16}, 'Strongly oppose': {'All': 6, 'Con': 10, 'Lab': 2, 'Lib Dem': 1, 'Reform': 22}, ""Don't know"": {'All': 16, 'Con': 14, 'Lab': 11, 'Lib Dem': 7, 'Reform': 12}}","{'All': {'support': 72, 'oppose': 12}, 'Con': {'support': 68, 'oppose': 18}, 'Lab': {'support': 85, 'oppose': 4}, 'Lib Dem': {'support': 90, 'oppose': 3}, 'Reform': {'support': 51, 'oppose': 38}}"
Would you support or oppose tax increases on people like you to pay for an increase in defence spending?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/02/17/1e158/2,Conducted 17 February 2025,7300,"{'Strongly support': {'All': 6, 'Con': 7, 'Lab': 7, 'Lib Dem': 9, 'Reform': 7}, 'Somewhat support': {'All': 24, 'Con': 33, 'Lab': 27, 'Lib Dem': 26, 'Reform': 19}, 'Somewhat oppose': {'All': 25, 'Con': 27, 'Lab': 27, 'Lib Dem': 28, 'Reform': 25}, 'Strongly oppose': {'All': 30, 'Con': 22, 'Lab': 24, 'Lib Dem': 22, 'Reform': 39}, ""Don't know"": {'All': 15, 'Con': 11, 'Lab': 15, 'Lib Dem': 16, 'Reform': 11}}","{'All': {'support': 30, 'oppose': 55}, 'Con': {'support': 40, 'oppose': 49}, 'Lab': {'support': 34, 'oppose': 51}, 'Lib Dem': {'support': 35, 'oppose': 50}, 'Reform': {'support': 26, 'oppose': 64}}"
Would you support or oppose J.K. Rowling being given a peerage?,https://yougov.co.uk/topics/entertainment/survey-results/daily/2024/10/17/de3c6/1,Conducted 17 October 2024,5546,"{'Strongly support': {'All': 18, 'Con': 29, 'Lab': 12, 'Lib Dem': 12, 'Reform': 38}, 'Somewhat support': {'All': 23, 'Con': 32, 'Lab': 24, 'Lib Dem': 23, 'Reform': 21}, 'Somewhat oppose': {'All': 11, 'Con': 9, 'Lab': 14, 'Lib Dem': 14, 'Reform': 7}, 'Strongly oppose': {'All': 13, 'Con': 3, 'Lab': 18, 'Lib Dem': 19, 'Reform': 5}, ""Don't know"": {'All': 35, 'Con': 26, 'Lab': 31, 'Lib Dem': 32, 'Reform': 29}}","{'All': {'support': 41, 'oppose': 24}, 'Con': {'support': 61, 'oppose': 12}, 'Lab': {'support': 36, 'oppose': 32}, 'Lib Dem': {'support': 35, 'oppose': 33}, 'Reform': {'support': 59, 'oppose': 12}}"
Would you support or oppose a ban on new oil and gas developments in Britain's North Sea territory?,https://yougov.co.uk/topics/consumer/survey-results/daily/2025/02/04/01be8/2,Conducted 4 February 2025,4505,"{'Strongly support': {'All': 19, 'Con': 16, 'Lab': 20, 'Lib Dem': 22, 'Reform': 25}, 'Somewhat support': {'All': 20, 'Con': 21, 'Lab': 26, 'Lib Dem': 22, 'Reform': 17}, 'Somewhat oppose': {'All': 16, 'Con': 20, 'Lab': 19, 'Lib Dem': 16, 'Reform': 9}, 'Strongly oppose': {'All': 17, 'Con': 24, 'Lab': 11, 'Lib Dem': 15, 'Reform': 35}, ""Don't know"": {'All': 27, 'Con': 19, 'Lab': 23, 'Lib Dem': 24, 'Reform': 13}}","{'All': {'support': 39, 'oppose': 33}, 'Con': {'support': 37, 'oppose': 44}, 'Lab': {'support': 46, 'oppose': 30}, 'Lib Dem': {'support': 44, 'oppose': 31}, 'Reform': {'support': 42, 'oppose': 44}}"
To what extent do you support or oppose the government's commitment to cutting carbon emissions to net zero by 2050?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/03/18/c4b0f/1,Conducted 18 March 2025,5824,"{'Strongly support': {'All': 28, 'Con': 15, 'Lab': 41, 'Lib Dem': 43, 'Reform': 5}, 'Somewhat support': {'All': 33, 'Con': 37, 'Lab': 38, 'Lib Dem': 37, 'Reform': 21}, 'Somewhat oppose': {'All': 12, 'Con': 19, 'Lab': 7, 'Lib Dem': 5, 'Reform': 17}, 'Strongly oppose': {'All': 12, 'Con': 19, 'Lab': 4, 'Lib Dem': 5, 'Reform': 41}, 'Don’t know': {'All': 15, 'Con': 11, 'Lab': 11, 'Lib Dem': 11, 'Reform': 15}}","{'All': {'support': 61, 'oppose': 24}, 'Con': {'support': 52, 'oppose': 38}, 'Lab': {'support': 79, 'oppose': 11}, 'Lib Dem': {'support': 80, 'oppose': 10}, 'Reform': {'support': 26, 'oppose': 58}}"
"Do you support or oppose winter fuel payments to pensioners being means tested, so they only go to those on pension credit or other means-tested benefits?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/05/08/f6d63/1,Conducted 8 May 2025,4670,"{'Strongly support': {'All': 18, 'Con': 14, 'Lab': 26, 'Lib Dem': 18, 'Reform': 15}, 'Tend to support': {'All': 29, 'Con': 26, 'Lab': 34, 'Lib Dem': 37, 'Reform': 23}, 'Tend to oppose': {'All': 17, 'Con': 19, 'Lab': 14, 'Lib Dem': 16, 'Reform': 16}, 'Strongly oppose': {'All': 22, 'Con': 34, 'Lab': 15, 'Lib Dem': 17, 'Reform': 39}, 'Don’t know': {'All': 15, 'Con': 8, 'Lab': 11, 'Lib Dem': 12, 'Reform': 7}}","{'All': {'support': 18, 'oppose': 22}, 'Con': {'support': 14, 'oppose': 34}, 'Lab': {'support': 26, 'oppose': 15}, 'Lib Dem': {'support': 18, 'oppose': 17}, 'Reform': {'support': 15, 'oppose': 39}}"
Would you support or oppose the NHS providing weight-loss jabs on prescription from high-street pharmacies without needing to see a doctor?,https://yougov.co.uk/topics/health/survey-results/daily/2025/05/02/52c7c/2,Conducted 2 May 2025,4282,"{'Strongly support': {'All': 11, 'Con': 10, 'Lab': 12, 'Lib Dem': 10, 'Reform': 15}, 'Somewhat support': {'All': 26, 'Con': 27, 'Lab': 29, 'Lib Dem': 25, 'Reform': 25}, 'Somewhat oppose': {'All': 24, 'Con': 24, 'Lab': 25, 'Lib Dem': 28, 'Reform': 20}, 'Strongly oppose': {'All': 24, 'Con': 27, 'Lab': 20, 'Lib Dem': 22, 'Reform': 30}, ""Don't know"": {'All': 14, 'Con': 12, 'Lab': 14, 'Lib Dem': 14, 'Reform': 10}}","{'All': {'support': 37, 'oppose': 48}, 'Con': {'support': 37, 'oppose': 51}, 'Lab': {'support': 41, 'oppose': 45}, 'Lib Dem': {'support': 35, 'oppose': 50}, 'Reform': {'support': 40, 'oppose': 50}}"
"From what you have seen and heard, do you support or oppose Ukraine signing a deal with the United States to share future profits from the sale of Ukraine's natural mineral and energy resources?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/05/01/af98f/1,Conducted 1 May 2025,4568,"{'Strongly support': {'All': 5, 'Con': 9, 'Lab': 4, 'Lib Dem': 3, 'Reform': 13}, 'Somewhat support': {'All': 23, 'Con': 36, 'Lab': 22, 'Lib Dem': 27, 'Reform': 29}, 'Somewhat oppose': {'All': 20, 'Con': 21, 'Lab': 22, 'Lib Dem': 24, 'Reform': 16}, 'Strongly oppose': {'All': 15, 'Con': 9, 'Lab': 19, 'Lib Dem': 17, 'Reform': 9}, ""Don't know"": {'All': 18, 'Con': 16, 'Lab': 18, 'Lib Dem': 16, 'Reform': 20}, 'N/A: I have not heard anything about this': {'All': 19, 'Con': 9, 'Lab': 16, 'Lib Dem': 14, 'Reform': 14}}","{'All': {'support': 28, 'oppose': 35}, 'Con': {'support': 45, 'oppose': 30}, 'Lab': {'support': 26, 'oppose': 41}, 'Lib Dem': {'support': 30, 'oppose': 41}, 'Reform': {'support': 42, 'oppose': 25}}"
Would you support or oppose the government nationalising British Steel?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/04/11/e7dec/1,Conducted 11 April 2025,5046,"{'Strongly support': {'All': 28, 'Con': 28, 'Lab': 37, 'Lib Dem': 33, 'Reform': 36}, 'Somewhat support': {'All': 29, 'Con': 35, 'Lab': 32, 'Lib Dem': 32, 'Reform': 31}, 'Somewhat oppose': {'All': 5, 'Con': 8, 'Lab': 4, 'Lib Dem': 4, 'Reform': 5}, 'Strongly oppose': {'All': 4, 'Con': 7, 'Lab': 1, 'Lib Dem': 1, 'Reform': 6}, ""Don't know"": {'All': 33, 'Con': 22, 'Lab': 25, 'Lib Dem': 30, 'Reform': 23}}","{'All': {'support': 57, 'oppose': 9}, 'Con': {'support': 63, 'oppose': 15}, 'Lab': {'support': 69, 'oppose': 5}, 'Lib Dem': {'support': 65, 'oppose': 5}, 'Reform': {'support': 67, 'oppose': 11}}"
Would you support or oppose a ban on pornography depicting strangulation?,https://yougov.co.uk/topics/society/survey-results/daily/2025/02/28/e7bcc/2,Conducted 28 February 2025,5415,"{'Strongly support': {'All': 58, 'Con': 69, 'Lab': 59, 'Lib Dem': 65, 'Reform': 59}, 'Somewhat support': {'All': 14, 'Con': 10, 'Lab': 16, 'Lib Dem': 17, 'Reform': 13}, 'Somewhat oppose': {'All': 6, 'Con': 4, 'Lab': 7, 'Lib Dem': 4, 'Reform': 7}, 'Strongly oppose': {'All': 9, 'Con': 13, 'Lab': 7, 'Lib Dem': 7, 'Reform': 9}, ""Don't know"": {'All': 13, 'Con': 5, 'Lab': 11, 'Lib Dem': 7, 'Reform': 11}}","{'All': {'support': 72, 'oppose': 15}, 'Con': {'support': 79, 'oppose': 17}, 'Lab': {'support': 75, 'oppose': 14}, 'Lib Dem': {'support': 82, 'oppose': 11}, 'Reform': {'support': 72, 'oppose': 16}}"
Would you support or oppose the United States becoming an associate member of the Commonwealth?,https://yougov.co.uk/topics/international/survey-results/daily/2025/04/01/49d2e/3,Conducted 1 April 2025,5001,"{'Strongly support': {'All': 5, 'Con': 6, 'Lab': 4, 'Lib Dem': 2, 'Reform': 20}, 'Somewhat support': {'All': 12, 'Con': 17, 'Lab': 11, 'Lib Dem': 7, 'Reform': 17}, 'Somewhat oppose': {'All': 15, 'Con': 15, 'Lab': 15, 'Lib Dem': 20, 'Reform': 13}, 'Strongly oppose': {'All': 35, 'Con': 35, 'Lab': 42, 'Lib Dem': 46, 'Reform': 20}, ""Don't know"": {'All': 32, 'Con': 28, 'Lab': 27, 'Lib Dem': 25, 'Reform': 30}}","{'All': {'support': 17, 'oppose': 50}, 'Con': {'support': 23, 'oppose': 50}, 'Lab': {'support': 15, 'oppose': 57}, 'Lib Dem': {'support': 9, 'oppose': 66}, 'Reform': {'support': 37, 'oppose': 33}}"
Do you support or oppose a ceasefire between Israel and Hamas at this time?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/01/16/c89e0/1,Conducted 16 January 2025,6072,"{'Strongly support': {'All': 61, 'Con': 59, 'Lab': 74, 'Lib Dem': 77, 'Reform': 45}, 'Somewhat support': {'All': 18, 'Con': 22, 'Lab': 14, 'Lib Dem': 14, 'Reform': 28}, 'Somewhat oppose': {'All': 2, 'Con': 2, 'Lab': 1, 'Lib Dem': 1, 'Reform': 6}, 'Strongly oppose': {'All': 2, 'Con': 2, 'Lab': 1, 'Lib Dem': 1, 'Reform': 4}, 'Don’t know': {'All': 17, 'Con': 15, 'Lab': 11, 'Lib Dem': 8, 'Reform': 18}}","{'All': {'support': 79, 'oppose': 4}, 'Con': {'support': 81, 'oppose': 4}, 'Lab': {'support': 88, 'oppose': 2}, 'Lib Dem': {'support': 91, 'oppose': 2}, 'Reform': {'support': 73, 'oppose': 10}}"
Would you support or oppose the UK signing a defence and security partnership with the EU?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/03/20/16d9e/1,Conducted 20 March 2025,3551,"{'Strongly support': {'All': 36, 'Con': 31, 'Lab': 52, 'Lib Dem': 53, 'Reform': 16}, 'Somewhat support': {'All': 33, 'Con': 39, 'Lab': 31, 'Lib Dem': 28, 'Reform': 30}, 'Somewhat oppose': {'All': 5, 'Con': 6, 'Lab': 2, 'Lib Dem': 2, 'Reform': 11}, 'Strongly oppose': {'All': 5, 'Con': 6, 'Lab': 1, 'Lib Dem': 1, 'Reform': 22}, 'Don’t know': {'All': 22, 'Con': 18, 'Lab': 14, 'Lib Dem': 16, 'Reform': 21}}","{'All': {'support': 69, 'oppose': 10}, 'Con': {'support': 70, 'oppose': 12}, 'Lab': {'support': 83, 'oppose': 3}, 'Lib Dem': {'support': 81, 'oppose': 3}, 'Reform': {'support': 46, 'oppose': 33}}"
Would you support or oppose the creation of a European army that included the United Kingdom?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/02/17/1e158/1,Conducted 17 February 2025,7300,"{'Strongly support': {'All': 15, 'Con': 14, 'Lab': 20, 'Lib Dem': 19, 'Reform': 8}, 'Somewhat support': {'All': 31, 'Con': 33, 'Lab': 38, 'Lib Dem': 40, 'Reform': 20}, 'Somewhat oppose': {'All': 13, 'Con': 17, 'Lab': 10, 'Lib Dem': 10, 'Reform': 15}, 'Strongly oppose': {'All': 15, 'Con': 18, 'Lab': 7, 'Lib Dem': 6, 'Reform': 39}, ""Don't know"": {'All': 26, 'Con': 18, 'Lab': 26, 'Lib Dem': 25, 'Reform': 19}}","{'All': {'support': 46, 'oppose': 28}, 'Con': {'support': 47, 'oppose': 35}, 'Lab': {'support': 58, 'oppose': 17}, 'Lib Dem': {'support': 59, 'oppose': 16}, 'Reform': {'support': 28, 'oppose': 54}}"
"From what you have seen and heard, do you support or oppose the government's decision to nationalise British Steel?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/04/14/d57f5/1,Conducted 14 April 2025,7769,"{'Strongly support': {'All': 28, 'Con': 25, 'Lab': 36, 'Lib Dem': 31, 'Reform': 34}, 'Somewhat support': {'All': 33, 'Con': 42, 'Lab': 34, 'Lib Dem': 36, 'Reform': 33}, 'Somewhat oppose': {'All': 6, 'Con': 6, 'Lab': 4, 'Lib Dem': 8, 'Reform': 6}, 'Strongly oppose': {'All': 2, 'Con': 3, 'Lab': 1, 'Lib Dem': 1, 'Reform': 5}, ""Don't know"": {'All': 31, 'Con': 22, 'Lab': 24, 'Lib Dem': 23, 'Reform': 23}}","{'All': {'support': 61, 'oppose': 8}, 'Con': {'support': 67, 'oppose': 9}, 'Lab': {'support': 70, 'oppose': 5}, 'Lib Dem': {'support': 67, 'oppose': 9}, 'Reform': {'support': 67, 'oppose': 11}}"
"Would you support or oppose planting new areas of woodland in Gloucestershire, Wiltshire, Somerset to create a new national forest?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/03/24/8cf88/3,Conducted 24 March 2025,5447,"{'Strongly support': {'All': 54, 'Con': 51, 'Lab': 54, 'Lib Dem': 66, 'Reform': 54}, 'Somewhat support': {'All': 30, 'Con': 34, 'Lab': 32, 'Lib Dem': 27, 'Reform': 31}, 'Somewhat oppose': {'All': 2, 'Con': 2, 'Lab': 2, 'Lib Dem': 1, 'Reform': 1}, 'Strongly oppose': {'All': 1, 'Con': 1, 'Lab': 0, 'Lib Dem': 0, 'Reform': 1}, ""Don't know"": {'All': 13, 'Con': 12, 'Lab': 11, 'Lib Dem': 6, 'Reform': 13}}","{'All': {'support': 84, 'oppose': 3}, 'Con': {'support': 85, 'oppose': 3}, 'Lab': {'support': 86, 'oppose': 2}, 'Lib Dem': {'support': 93, 'oppose': 1}, 'Reform': {'support': 85, 'oppose': 2}}"
Would you support or oppose giving judges the option of sentencing criminals to house arrest?,https://yougov.co.uk/topics/politics/survey-results/daily/2024/10/23/343f1/1,Conducted 23 October 2024,6011,"{'Strongly support': {'All': 16, 'Con': 15, 'Lab': 20, 'Lib Dem': 17, 'Reform': 15}, 'Somewhat support': {'All': 41, 'Con': 38, 'Lab': 47, 'Lib Dem': 49, 'Reform': 31}, 'Somewhat oppose': {'All': 13, 'Con': 18, 'Lab': 12, 'Lib Dem': 11, 'Reform': 14}, 'Strongly oppose': {'All': 12, 'Con': 16, 'Lab': 7, 'Lib Dem': 6, 'Reform': 25}, ""Don't know"": {'All': 18, 'Con': 14, 'Lab': 15, 'Lib Dem': 16, 'Reform': 15}}","{'All': {'support': 57, 'oppose': 25}, 'Con': {'support': 53, 'oppose': 34}, 'Lab': {'support': 67, 'oppose': 19}, 'Lib Dem': {'support': 66, 'oppose': 17}, 'Reform': {'support': 46, 'oppose': 39}}"
Would you support or oppose requiring people to submit ID documents to prove their age in order to buy knives online?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/01/22/b31b7/2,Conducted 22 January 2025,7353,"{'Strongly support': {'All': 73, 'Con': 82, 'Lab': 76, 'Lib Dem': 75, 'Reform': 74}, 'Somewhat support': {'All': 16, 'Con': 12, 'Lab': 16, 'Lib Dem': 17, 'Reform': 14}, 'Somewhat oppose': {'All': 4, 'Con': 2, 'Lab': 3, 'Lib Dem': 2, 'Reform': 5}, 'Strongly oppose': {'All': 2, 'Con': 1, 'Lab': 2, 'Lib Dem': 2, 'Reform': 4}, ""Don't know"": {'All': 5, 'Con': 3, 'Lab': 4, 'Lib Dem': 4, 'Reform': 4}}","{'All': {'support': 89, 'oppose': 6}, 'Con': {'support': 94, 'oppose': 3}, 'Lab': {'support': 92, 'oppose': 5}, 'Lib Dem': {'support': 92, 'oppose': 4}, 'Reform': {'support': 88, 'oppose': 9}}"
Would you support or oppose increasing the NATO defence spending requirement from 2% of GDP to 3% of GDP?,https://yougov.co.uk/topics/international/survey-results/daily/2024/12/18/f55ab/1,Conducted 18 December 2024,7035,"{'Strongly support': {'All': 23, 'Con': 37, 'Lab': 21, 'Lib Dem': 22, 'Reform': 33}, 'Somewhat support': {'All': 27, 'Con': 31, 'Lab': 30, 'Lib Dem': 35, 'Reform': 24}, 'Somewhat oppose': {'All': 12, 'Con': 10, 'Lab': 15, 'Lib Dem': 11, 'Reform': 8}, 'Strongly oppose': {'All': 9, 'Con': 6, 'Lab': 6, 'Lib Dem': 5, 'Reform': 16}, ""Don't know"": {'All': 28, 'Con': 15, 'Lab': 28, 'Lib Dem': 27, 'Reform': 19}}","{'All': {'support': 50, 'oppose': 21}, 'Con': {'support': 68, 'oppose': 16}, 'Lab': {'support': 51, 'oppose': 21}, 'Lib Dem': {'support': 57, 'oppose': 16}, 'Reform': {'support': 57, 'oppose': 24}}"
Would you support or oppose changing the two-child benefit cap so that parents with children under the age of five are exempt?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/02/27/bca88/2,Conducted 27 February 2025,4938,"{'Strongly support': {'All': 14, 'Con': 7, 'Lab': 19, 'Lib Dem': 17, 'Reform': 9}, 'Somewhat support': {'All': 17, 'Con': 17, 'Lab': 23, 'Lib Dem': 18, 'Reform': 12}, 'Somewhat oppose': {'All': 13, 'Con': 15, 'Lab': 15, 'Lib Dem': 12, 'Reform': 14}, 'Strongly oppose': {'All': 18, 'Con': 27, 'Lab': 12, 'Lib Dem': 14, 'Reform': 28}, ""Don't know"": {'All': 38, 'Con': 33, 'Lab': 32, 'Lib Dem': 38, 'Reform': 36}}","{'All': {'support': 31, 'oppose': 31}, 'Con': {'support': 24, 'oppose': 42}, 'Lab': {'support': 42, 'oppose': 27}, 'Lib Dem': {'support': 35, 'oppose': 26}, 'Reform': {'support': 21, 'oppose': 42}}"
Would you support or oppose increasing the amount of time that migrants have to live in the UK before they are able to apply for British citizenship?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/02/06/f40bf/2,Conducted 6 February 2025,4542,"{'Strongly support': {'All': 32, 'Con': 49, 'Lab': 22, 'Lib Dem': 24, 'Reform': 66}, 'Somewhat support': {'All': 23, 'Con': 23, 'Lab': 26, 'Lib Dem': 28, 'Reform': 11}, 'Somewhat oppose': {'All': 13, 'Con': 7, 'Lab': 16, 'Lib Dem': 17, 'Reform': 3}, 'Strongly oppose': {'All': 14, 'Con': 13, 'Lab': 13, 'Lib Dem': 13, 'Reform': 17}, ""Don't know"": {'All': 19, 'Con': 8, 'Lab': 23, 'Lib Dem': 19, 'Reform': 4}}","{'All': {'support': 55, 'oppose': 27}, 'Con': {'support': 72, 'oppose': 20}, 'Lab': {'support': 48, 'oppose': 29}, 'Lib Dem': {'support': 52, 'oppose': 30}, 'Reform': {'support': 77, 'oppose': 20}}"
Would you support or oppose banning children under the age of 16 from having social media accounts?,https://yougov.co.uk/topics/technology/survey-results/daily/2024/11/29/ba0bc/1,Conducted 29 November 2024,4391,"{'Strongly support': {'All': 36, 'Con': 45, 'Lab': 35, 'Lib Dem': 34, 'Reform': 42}, 'Somewhat support': {'All': 36, 'Con': 36, 'Lab': 37, 'Lib Dem': 42, 'Reform': 32}, 'Somewhat oppose': {'All': 14, 'Con': 10, 'Lab': 15, 'Lib Dem': 14, 'Reform': 13}, 'Strongly oppose': {'All': 5, 'Con': 3, 'Lab': 5, 'Lib Dem': 3, 'Reform': 7}, ""Don't know"": {'All': 9, 'Con': 6, 'Lab': 7, 'Lib Dem': 8, 'Reform': 7}}","{'All': {'support': 72, 'oppose': 19}, 'Con': {'support': 81, 'oppose': 13}, 'Lab': {'support': 72, 'oppose': 20}, 'Lib Dem': {'support': 76, 'oppose': 17}, 'Reform': {'support': 74, 'oppose': 20}}"
"Do you support or oppose undergraduate tuition fees in England rising £285 per year to £9,535?",https://yougov.co.uk/topics/society/survey-results/daily/2024/11/05/a1fba/3,Conducted 5 November 2024,6520,"{'Strongly support': {'All': 8, 'Con': 10, 'Lab': 8, 'Lib Dem': 8, 'Reform': 11}, 'Somewhat support': {'All': 19, 'Con': 24, 'Lab': 24, 'Lib Dem': 22, 'Reform': 20}, 'Somewhat oppose': {'All': 21, 'Con': 23, 'Lab': 22, 'Lib Dem': 25, 'Reform': 21}, 'Strongly oppose': {'All': 31, 'Con': 27, 'Lab': 30, 'Lib Dem': 28, 'Reform': 31}, ""Don't know"": {'All': 21, 'Con': 16, 'Lab': 16, 'Lib Dem': 17, 'Reform': 17}}","{'All': {'support': 27, 'oppose': 52}, 'Con': {'support': 34, 'oppose': 50}, 'Lab': {'support': 32, 'oppose': 52}, 'Lib Dem': {'support': 30, 'oppose': 53}, 'Reform': {'support': 31, 'oppose': 52}}"
Do you support or oppose the UK suspending some arms exports to Israel?,https://yougov.co.uk/topics/politics/survey-results/daily/2024/09/03/43ee2/1,Conducted 3 September 2024,3329,"{'Strongly support': {'All': 27, 'Con': 17, 'Lab': 39, 'Lib Dem': 34, 'Reform': 17}, 'Tend to support': {'All': 22, 'Con': 25, 'Lab': 27, 'Lib Dem': 27, 'Reform': 17}, 'Tend to oppose': {'All': 13, 'Con': 21, 'Lab': 9, 'Lib Dem': 12, 'Reform': 15}, 'Strongly oppose': {'All': 13, 'Con': 16, 'Lab': 10, 'Lib Dem': 8, 'Reform': 26}, 'Don’t know': {'All': 24, 'Con': 21, 'Lab': 15, 'Lib Dem': 18, 'Reform': 25}}","{'All': {'support': 27, 'oppose': 13}, 'Con': {'support': 17, 'oppose': 16}, 'Lab': {'support': 39, 'oppose': 10}, 'Lib Dem': {'support': 34, 'oppose': 8}, 'Reform': {'support': 17, 'oppose': 26}}"
